"";"Binomial";"Wood.density..kg.m3.";"identifiant"
"1871";"Coccoloba densifrons";580;NA
"1872";"Coccoloba diversifolia";800;NA
"1873";"Coccoloba latifolia";580;NA
"1874";"Coccoloba lehmannii";580;NA
"1875";"Coccoloba liebmannii";800;NA
"1876";"Coccoloba mollis";675;NA
"1877";"Coccoloba padiformis";800;NA
"1878";"Coccoloba pubescens";1000;NA
"1879";"Coccoloba swartzii";700;NA
"1880";"Coccoloba uvifera";700;NA
"1881";"Cochlospermum gossypium";270;NA
"1882";"Cochlospermum orinocense";224;NA
"1883";"Cochlospermum religiosum";234;NA
"1884";"Cochlospermum vitifolium";218,333333333333;NA
"1885";"Codonocarpus attenuatus";323;NA
"1886";"Codonocarpus cotinifolius";375;NA
"1887";"Coelocaryon klainei";534;NA
"1888";"Coelocaryon oxycarpum";451,333333333333;NA
"1889";"Coelocaryon preussii";495,263157894737;"bouamir_p16_236"
"1890";"Coelostegia borneensis";580;NA
"1891";"Coelostegia griffithii";586,666666666667;NA
"1892";"Coffea arabica";620;NA
"1893";"Coffea zanguebariae";646;NA
"1894";"Cola acuminata";507,666666666667;"bouamir_p16_350"
"1895";"Cola buntingii";714;NA
"1896";"Cola cordifolia";523;NA
"1897";"Cola gigantea";480;NA
"1898";"Cola greenwayi";695,5;NA
"1899";"Cola indet";738;NA
"1900";"Cola lateritia";507;"bouamir_p16_8"
"1901";"Cola natalensis";738;NA
"1902";"Colona celebica";340;NA
"1903";"Colona javanica";380;NA
"1904";"Colona scabra";340;NA
"1905";"Colona serratifolia";380;NA
"1906";"Colona thorelii";353;NA
"1907";"Colophospermum mopane";904;NA
"1908";"Colubrina arborescens";700;NA
"1909";"Colubrina elliptica";800;NA
"1910";"Colubrina faralaotra";680,333333333333;NA
"1911";"Colubrina glandulosa";738,666666666667;NA
"1912";"Colubrina heteroneura";970;NA
"1913";"Colubrina papuana";804,5;NA
"1914";"Colubrina spinosa";495;NA
"1915";"Colubrina triflora";860;NA
"1916";"Combretocarpus rotundatus";610;NA
"1917";"Combretocarpus rotuodatus";610;NA
"1918";"Combretum apiculatum";870;NA
"1919";"Combretum binderianum";800;NA
"1920";"Combretum elaeagnoides";857;NA
"1921";"Combretum erythrophyllum";603;NA
"1922";"Combretum fragrans";646;NA
"1923";"Combretum glutinosum";900;NA
"1924";"Combretum hereroense";814;NA
"1925";"Combretum imberbe";1059;NA
"1926";"Combretum leprosum";630;NA
"1927";"Combretum molle";758;"upemba_P3_22"
"1928";"Combretum schumannii";929;NA
"1929";"Commersonia bartramia";400,666666666667;NA
"1930";"Commiphora africana";276;NA
"1931";"Commiphora barorum";346;NA
"1932";"Commiphora caerulea";370;NA
"1933";"Commiphora edulis";646;NA
"1934";"Commiphora indet";354;NA
"1935";"Commiphora leptophloeos";430;NA
"1936";"Commiphora marlothii";456;NA
"1937";"Commiphora mollis";370;NA
"1938";"Commiphora pterocarpa";369;NA
"1939";"Comocladia engleriana";790;NA
"1940";"Conceveiba guianensis";543,25;NA
"1941";"Conceveiba martiana";430;NA
"1942";"Conceveiba pleiostemona";266;NA
"1943";"Connarus griffithii";550;NA
"1944";"Connarus suberosus";450;NA
"1945";"Conocarpus erectus";845;NA
"1946";"Copaifera aromatica";620;NA
"1947";"Copaifera duckei";620;NA
"1948";"Copaifera guyanensis";617,5;NA
"1949";"Copaifera indet";515;NA
"1950";"Copaifera langsdorffii";650;NA
"1951";"Copaifera mildbraedii";659,75;NA
"1952";"Copaifera multijuga";585;NA
"1953";"Copaifera officinalis";627,2;NA
"1954";"Copaifera palustris";560;NA
"1955";"Copaifera pubiflora";637,5;NA
"1956";"Copaifera religiosa";512,333333333333;NA
"1957";"Copaifera reticulata";607,5;NA
"1958";"Copaifera salikounda";696,333333333333;NA
"1959";"Copernicia alba";791;NA
"1960";"Coprosma foetidissima";719;NA
"1961";"Coprosma indet";583;NA
"1962";"Coprosma linariifolia";820;NA
"1963";"Coprosma lucida";807;NA
"1964";"Coprosma pseudocuneata";815;NA
"1965";"Cordia abyssinica";577;NA
"1966";"Cordia africana";466;NA
"1967";"Cordia alliodora";520,307692307692;NA
"1968";"Cordia americana";688;NA
"1969";"Cordia bicolor";475;NA
"1970";"Cordia borinquensis";700;NA
"1971";"Cordia caffra";723;NA
"1972";"Cordia cicatricosa";410;NA
"1973";"Cordia collococca";420;NA
"1974";"Cordia dentata";500;NA
"1975";"Cordia dichotoma";451,2;NA
"1976";"Cordia dodecandra";650;NA
"1977";"Cordia ecalyculata";1076;NA
"1978";"Cordia elaeagnoides";880;NA
"1979";"Cordia exaltata";398,5;NA
"1980";"Cordia fallax";373,5;NA
"1981";"Cordia fragrantissima";689;NA
"1982";"Cordia gerascanthus";745;NA
"1983";"Cordia glabrata";770;NA
"1984";"Cordia goeldiana";498;NA
"1985";"Cordia goetzei";758;NA
"1986";"Cordia laevifrons";330;NA
"1987";"Cordia lasiocalyx";397;NA
"1988";"Cordia lomatoloba";410;NA
"1989";"Cordia megalantha";390;NA
"1990";"Cordia millenii";409,25;NA
"1991";"Cordia myxa";363;NA
"1992";"Cordia nodosa";390;NA
"1993";"Cordia platythyrsa";385;NA
"1994";"Cordia sagotii";409;NA
"1995";"Cordia scabrifolia";474;NA
"1996";"Cordia sebestena";700;NA
"1997";"Cordia seleriana";780;NA
"1998";"Cordia sericicalyx";387;NA
"1999";"Cordia sonorae";810;NA
"2000";"Cordia subcordata";496;NA
"2001";"Cordia subpubescens";220;NA
"2002";"Cordia sulcata";600;NA
"2003";"Cordia tetrandra";345;NA
"2004";"Cordia trichotoma";630;NA
"2005";"Cordia ucayaliensis";410;NA
"2006";"Cordia vestita";680;NA
"2007";"Cordyla africana";730,5;NA
"2008";"Cordyla madagascariensis";818;NA
"2009";"Cordyla pinnata";754;NA
"2010";"Cornus controversa";535;NA
"2011";"Cornus disciflora";530;NA
"2012";"Cornus florida";640;NA
"2013";"Cornus nuttallii";580;NA
"2014";"Cornus peruviana";560;NA
"2015";"Cornus sanguinea";680;NA
"2016";"Cornutia grandiflora";600;NA
"2017";"Corylus avellana";517;NA
"2018";"Corylus chinensis";566,5;NA
"2019";"Corymbia abergiana";771;NA
"2020";"Corymbia bloxsomei";745;NA
"2021";"Corymbia chippendalei";846;NA
"2022";"Corymbia citriodora";824,833333333333;NA
"2023";"Corymbia clavigera";831;NA
"2024";"Corymbia confertiflora";778;NA
"2025";"Corymbia dallachiana";748,25;NA
"2026";"Corymbia dichromophloia";895;NA
"2027";"Corymbia erythrophloia";895;NA
"2028";"Corymbia gummifera";820;NA
"2029";"Corymbia henryi";870;NA
"2030";"Corymbia lenziana";889;NA
"2031";"Corymbia maculata";844;NA
"2032";"Corymbia nesophila";853;NA
"2033";"Corymbia peltata";833,5;NA
"2034";"Corymbia polycarpa";870,833333333333;NA
"2035";"Corymbia setosa";1020;NA
"2036";"Corymbia terminalis";870;NA
"2037";"Corymbia tessellaris";914,5;NA
"2038";"Corymbia torelliana";761;NA
"2039";"Corymbia trachyphloia";879;NA
"2040";"Corymbia watsoniana";827;NA
"2041";"Corynanthe pachyceras";672,333333333333;"bouamir_p16_45"
"2042";"Corynocarpus australasicus";710;NA
"2043";"Corynocarpus cribbianus";594;NA
"2044";"Corythophora alta";713,666666666667;NA
"2045";"Corythophora rimosa";795,666666666667;NA
"2046";"Cotylelobium burckii";815;NA
"2047";"Cotylelobium lanceolatum";780;NA
"2048";"Cotylelobium malayanum";850;NA
"2049";"Cotylelobium melanoxylon";825;NA
"2050";"Couepia bracteosa";770;NA
"2051";"Couepia caryophylloides";770;NA
"2052";"Couepia elata";769;NA
"2053";"Couepia guianensis";755,2;NA
"2054";"Couepia hostmanniana";770;NA
"2055";"Couepia longipendula";938;NA
"2056";"Couepia paraensis";850;NA
"2057";"Couepia polyandra";740;NA
"2058";"Couepia robusta";830;NA
"2059";"Couepia ulei";789,5;NA
"2060";"Coula edulis";894,666666666667;NA
"2061";"Couma guianensis";466,666666666667;NA
"2062";"Couma macrocarpa";474;NA
"2063";"Couma utilis";660;NA
"2064";"Couratari asterotricha";510;NA
"2065";"Couratari guianensis";507,125;NA
"2066";"Couratari indet";515;NA
"2067";"Couratari longipedicellata";540;NA
"2068";"Couratari macrosperma";670;NA
"2069";"Couratari multiflora";448;NA
"2070";"Couratari oblongifolia";505;NA
"2071";"Couratari panamensis";490;NA
"2072";"Couratari stellata";633,142857142857;NA
"2073";"Couratari tauari";555;NA
"2074";"Couroupita guianensis";434;NA
"2075";"Couroupita subsessilis";390;NA
"2076";"Coussapoa asperifolia";451,5;NA
"2077";"Coussapoa batavorum";490;NA
"2078";"Coussapoa microcarpa";590;NA
"2079";"Coussapoa panamensis";390;NA
"2080";"Coussapoa parviceps";490;NA
"2081";"Coussapoa parvifolia";490;NA
"2082";"Coussarea ampla";476;NA
"2083";"Coussarea hirticalyx";645;NA
"2084";"Coussarea hydrangeifolia";650;NA
"2085";"Coussarea racemosa";650;NA
"2086";"Coussarea surinamensis";670;NA
"2087";"Coutarea hexandra";600;NA
"2088";"Craibia brevicaudata";619,5;NA
"2089";"Craspidospermum verticillatum";838;NA
"2090";"Crassocephalum mannii";331;NA
"2091";"Crataegus calpodendron";620;NA
"2092";"Crataegus oxyacantha";700;NA
"2093";"Craterispermum schweinfurthii";663;NA
"2094";"Crateva membranifolia";375;NA
"2095";"Crateva nurvala";340;NA
"2096";"Crateva tapia";518,5;NA
"2097";"Cratoxylum arborescens";433,333333333333;NA
"2098";"Cratoxylum clandestinum";510;NA
"2099";"Cratoxylum cochinchinense";670;NA
"2100";"Cratoxylum formosum";715;NA
"2101";"Cratoxylum glaucum";480;NA
"2102";"Cratoxylum ligustrinum";730,6;NA
"2103";"Cratoxylum prunifolium";744;NA
"2104";"Cratoxylum sumatranum";591,333333333333;NA
"2105";"Crepidospermum rhoifolium";578,5;NA
"2106";"Crescentia alata";710;NA
"2107";"Crescentia cujete";634;NA
"2108";"Crinodendron tucumanum";458;NA
"2109";"Crossopteryx febrifuga";702;NA
"2110";"Croton argyratus";663,333333333333;NA
"2111";"Croton croizatii";410;NA
"2112";"Croton cuneatus";410;NA
"2113";"Croton floribundus";600;NA
"2114";"Croton glabrescens";580;NA
"2115";"Croton griffithii";550;NA
"2116";"Croton indet";652;NA
"2117";"Croton laevifolius";430;NA
"2118";"Croton laevigatus";530;NA
"2119";"Croton lanjouwensis";620;NA
"2120";"Croton luciae";410;NA
"2121";"Croton macrostachyus";479,333333333333;NA
"2122";"Croton matourensis";388,333333333333;NA
"2123";"Croton megalobotrys";551;NA
"2124";"Croton megalocarpus";534,6;NA
"2125";"Croton mutisianus";410;NA
"2126";"Croton nitens";530;NA
"2127";"Croton oblongifolius";606;NA
"2128";"Croton oligandrus";571;NA
"2129";"Croton poecilanthus";600;NA
"2130";"Croton tchibangensis";359,8;NA
"2131";"Croton tessmannii";390;NA
"2132";"Croton triacros";525;NA
"2133";"Croton urucurana";528;NA
"2134";"Croton xanthochylus";431,666666666667;NA
"2135";"Crudia acuta";530;NA
"2136";"Crudia amazonica";835;NA
"2137";"Crudia aromatica";930;NA
"2138";"Crudia beccarii";750;NA
"2139";"Crudia blancoi";850;NA
"2140";"Crudia caudata";850;NA
"2141";"Crudia chrysantha";672;NA
"2142";"Crudia curtisii";800;NA
"2143";"Crudia glaberrima";785;NA
"2144";"Crudia gracilis";950;NA
"2145";"Crudia mutabilis";590;NA
"2146";"Crudia obliqua";750;NA
"2147";"Crudia ripicola";725;NA
"2148";"Crudia scortechinii";900;NA
"2149";"Crudia tenuipes";860;NA
"2150";"Crudia teysmannii";680;NA
"2151";"Crudia velutina";760;NA
"2152";"Crudia wrayi";760;NA
"2153";"Cryosophila warscewiczii";400;NA
"2154";"Crypteronia cumingii";410;NA
"2155";"Crypteronia griffithii";584,666666666667;NA
"2156";"Crypteronia paniculata";663,5;NA
"2157";"Cryptocarya alleniana";353;NA
"2158";"Cryptocarya angica";550;NA
"2159";"Cryptocarya angulata";658,5;NA
"2160";"Cryptocarya archboldiana";520;NA
"2161";"Cryptocarya aschersoniana";570;NA
"2162";"Cryptocarya bicolor";700;NA
"2163";"Cryptocarya chinensis";500;NA
"2164";"Cryptocarya chingii";540;NA
"2165";"Cryptocarya corrugata";673;NA
"2166";"Cryptocarya costata";470;NA
"2167";"Cryptocarya crassinervia";486,5;NA
"2168";"Cryptocarya cunninghamii";672;NA
"2169";"Cryptocarya densiflora";535,714285714286;NA
"2170";"Cryptocarya erythroxylon";585;NA
"2171";"Cryptocarya ferrea";630;NA
"2172";"Cryptocarya foveolata";456;NA
"2173";"Cryptocarya glaucescens";549,5;NA
"2174";"Cryptocarya grandis";715;NA
"2175";"Cryptocarya griffithiana";550;NA
"2176";"Cryptocarya hypoglauca";663;NA
"2177";"Cryptocarya hypospodia";594;NA
"2178";"Cryptocarya idenburgensis";500;NA
"2179";"Cryptocarya impressa";500;NA
"2180";"Cryptocarya indet";650;NA
"2181";"Cryptocarya kurzii";605;NA
"2182";"Cryptocarya lanceolata";353;NA
"2183";"Cryptocarya louvelii";738,166666666667;NA
"2184";"Cryptocarya mackinnoniana";751,25;NA
"2185";"Cryptocarya massoy";530;NA
"2186";"Cryptocarya membranacea";580;NA
"2187";"Cryptocarya metcalfiana";760;NA
"2188";"Cryptocarya microneura";689;NA
"2189";"Cryptocarya moretoniana";551;NA
"2190";"Cryptocarya multipaniculata";380;NA
"2191";"Cryptocarya murrayi";676;NA
"2192";"Cryptocarya oblata";474;NA
"2193";"Cryptocarya obovata";497;NA
"2194";"Cryptocarya obtusifolia";560;NA
"2195";"Cryptocarya palmerensis";421,5;NA
"2196";"Cryptocarya pleurosperma";583;NA
"2197";"Cryptocarya rigida";620;NA
"2198";"Cryptocarya roemeri";550;NA
"2199";"Cryptocarya subvelutina";460;NA
"2200";"Cryptocarya thouvenotii";590,75;NA
"2201";"Cryptocarya tomentosa";480;NA
"2202";"Cryptocarya triplinervis";610;NA
"2203";"Cryptocarya verrucosa";300;NA
"2204";"Cryptomeria fortunei";302,666666666667;NA
"2205";"Cryptomeria japonica";400;NA
"2206";"Cryptosepalum staudtii";752,75;NA
"2207";"Ctenolophon englerianus";795;NA
"2208";"Ctenolophon parvifolius";743,333333333333;NA
"2209";"Cullen australasicum";788;NA
"2210";"Cunninghamia lanceolata";315,692307692308;NA
"2211";"Cunonia capensis";600;NA
"2212";"Cupania americana";565;NA
"2213";"Cupania cinerea";500;NA
"2214";"Cupania dentata";660;NA
"2215";"Cupania lucens";573;NA
"2216";"Cupania oblongifolia";670;NA
"2217";"Cupania scrobiculata";628;NA
"2218";"Cupania vernalis";662,5;NA
"2219";"Cupaniopsis anacardioides";835;NA
"2220";"Cupaniopsis apiocarpa";715;NA
"2221";"Cupaniopsis parvifolia";719;NA
"2222";"Cupressus duclouxiana";430;NA
"2223";"Cupressus funebris";470;NA
"2224";"Cupressus lusitanica";390;NA
"2225";"Cupressus macrocarpa";400;NA
"2226";"Cupressus sempervirens";435;NA
"2227";"Cupressus torulosa";440;NA
"2228";"Curatella americana";650;NA
"2229";"Curtisia dentata";801;NA
"2230";"Curtisia faginea";700;NA
"2231";"Curupira tefeensis";810;NA
"2232";"Cuspidaria lateriflora";540;NA
"2233";"Cussonia arborea";361;NA
"2234";"Cussonia spicata";445;NA
"2235";"Cyathocalyx bancanus";340;NA
"2236";"Cyathocalyx carinatus";320;NA
"2237";"Cyathocalyx globosus";740;NA
"2238";"Cyathocalyx havilandii";600;NA
"2239";"Cyathocalyx maingayi";480;NA
"2240";"Cyathocalyx pahangensis";450;NA
"2241";"Cyathocalyx pruniferus";390;NA
"2242";"Cyathocalyx sumatrana";760;NA
"2243";"Cyathodes fasciculata";732;NA
"2244";"Cybianthus fulvopulverulentus";592,5;NA
"2245";"Cybistax antisyphilitica";590;NA
"2246";"Cyclolobium vecchii";900;NA
"2247";"Cylicodiscus gabunensis";778,842105263158;"bouamir_p16_197"
"2248";"Cymbopetalum baillonii";480;NA
"2249";"Cymbopetalum brasiliense";485;NA
"2250";"Cymbopetalum penduliflorum";690;NA
"2251";"Cynometra alexandri";744,2;NA
"2252";"Cynometra ananta";829,75;NA
"2253";"Cynometra cauliflora";720;NA
"2254";"Cynometra hankei";840,5;NA
"2255";"Cynometra hostmanniana";840;NA
"2256";"Cynometra inaequifolia";800;NA
"2257";"Cynometra indet";818;NA
"2258";"Cynometra insularis";760;NA
"2259";"Cynometra malaccensis";790;NA
"2260";"Cynometra mimosoides";799;NA
"2261";"Cynometra novo-guineensis";890;NA
"2262";"Cynometra oaxacana";980;NA
"2263";"Cynometra parvifolia";840;NA
"2264";"Cynometra polyandra";758;NA
"2265";"Cynometra ramiflora";786,666666666667;NA
"2266";"Cynometra retusa";800;NA
"2267";"Cyrilla racemiflora";590;NA
"2268";"Dacrycarpus cinctus";460;NA
"2269";"Dacrycarpus imbricatus";413,333333333333;NA
"2270";"Dacrycarpus steupii";500;NA
"2271";"Dacrydium beccarii";610;NA
"2272";"Dacrydium bidwillii";701;NA
"2273";"Dacrydium biforme";795;NA
"2274";"Dacrydium colensoi";540;NA
"2275";"Dacrydium cupressinum";589;NA
"2276";"Dacrydium elatum";485;NA
"2277";"Dacrydium intermedium";700;NA
"2278";"Dacrydium nausoriensis";520;NA
"2279";"Dacrydium nidulum";492,5;NA
"2280";"Dacrydium novo-guineense";465;NA
"2281";"Dacrydium pierrei";544;NA
"2282";"Dacryodes belemensis";520;NA
"2283";"Dacryodes buettneri";512,55;NA
"2284";"Dacryodes colombiana";510;NA
"2285";"Dacryodes costata";695;NA
"2286";"Dacryodes edulis";516,333333333333;"bouamir_p16_37"
"2287";"Dacryodes excelsa";480;NA
"2288";"Dacryodes heterotricha";604,142857142857;NA
"2289";"Dacryodes igaganga";537,363636363636;NA
"2290";"Dacryodes incurvata";590;NA
"2291";"Dacryodes indet";559,428571428571;NA
"2292";"Dacryodes klaineana";724,5;NA
"2293";"Dacryodes kukachkana";535;NA
"2294";"Dacryodes laxa";693,333333333333;NA
"2295";"Dacryodes letestui";548;NA
"2296";"Dacryodes macrocarpa";565;NA
"2297";"Dacryodes macrophylla";553;NA
"2298";"Dacryodes nitens";490;NA
"2299";"Dacryodes normandii";516,555555555556;NA
"2300";"Dacryodes occidentalis";525;NA
"2301";"Dacryodes peruviana";530;NA
"2302";"Dacryodes pubescens";581,6;NA
"2303";"Dacryodes rostrata";550;NA
"2304";"Dacryodes rubiginosa";580;NA
"2305";"Dacryodes rugosa";735;NA
"2306";"Dactylocladus stenostachya";415;NA
"2307";"Dalbergia balansae";524,5;NA
"2308";"Dalbergia baronii";621,2;NA
"2309";"Dalbergia brasiliensis";910;NA
"2310";"Dalbergia cambodiana";904;NA
"2311";"Dalbergia cearensis";863,333333333333;NA
"2312";"Dalbergia cochinchinensis";880;NA
"2313";"Dalbergia congestiflora";830;NA
"2314";"Dalbergia cultrata";770;NA
"2315";"Dalbergia decipularis";820;NA
"2316";"Dalbergia floribunda";750;NA
"2317";"Dalbergia frutescens";690;NA
"2318";"Dalbergia fusca";835;NA
"2319";"Dalbergia glauca";795;NA
"2320";"Dalbergia granadillo";860;NA
"2321";"Dalbergia greveana";984;NA
"2322";"Dalbergia hainanensis";688,75;NA
"2323";"Dalbergia hupeana";752,25;NA
"2324";"Dalbergia indet";964,333333333333;NA
"2325";"Dalbergia kurzii";579;NA
"2326";"Dalbergia lanceolaria";560,5;NA
"2327";"Dalbergia latifolia";750;NA
"2328";"Dalbergia mammosa";850;NA
"2329";"Dalbergia melanoxylon";1077,2;NA
"2330";"Dalbergia nigra";812,375;NA
"2331";"Dalbergia odorifera";849,5;NA
"2332";"Dalbergia oliveri";879,5;NA
"2333";"Dalbergia ovata";675;NA
"2334";"Dalbergia retusa";860;NA
"2335";"Dalbergia rimosa";620;NA
"2336";"Dalbergia sissoides";695;NA
"2337";"Dalbergia sissoo";676,428571428571;NA
"2338";"Dalbergia stevensonii";778,75;NA
"2339";"Dalbergia tucurensis";860;NA
"2340";"Daniellia indet";472,666666666667;NA
"2341";"Daniellia klainei";443,5;NA
"2342";"Daniellia ogea";433,25;NA
"2343";"Daniellia oliveri";493,363636363636;NA
"2344";"Daniellia pynaertii";400;NA
"2345";"Daniellia soyauxii";463;NA
"2346";"Daniellia thurifera";460;NA
"2347";"Daphnandra indet";494,5;NA
"2348";"Daphnandra micrantha";558,5;NA
"2349";"Daphnandra repandula";581;NA
"2350";"Daphniphyllum atrobadium";440;NA
"2351";"Daphniphyllum glaucescens";530;NA
"2352";"Daphniphyllum lancifolium";490;NA
"2353";"Daphniphyllum oldhamii";536;NA
"2354";"Daphniphyllum paxianum";535,5;NA
"2355";"Daphnopsis brasiliensis";520;NA
"2356";"Darlingia darlingiana";656;NA
"2357";"Darlingia ferruginea";516,5;NA
"2358";"Dasylepis integra";640;NA
"2359";"Davidia involucrata";448,5;NA
"2360";"Davidsonia pruriens";786;NA
"2361";"Decaspermum hainanense";732;NA
"2362";"Decaspermum humile";702;NA
"2363";"Degeneria vitiensis";350;NA
"2364";"Dehaasia caesia";660;NA
"2365";"Dehaasia cuneata";564,666666666667;NA
"2366";"Dehaasia curtisii";690;NA
"2367";"Dehaasia elliptica";580;NA
"2368";"Dehaasia firma";555;NA
"2369";"Dehaasia incrassata";460;NA
"2370";"Dehaasia microcarpa";460;NA
"2371";"Dehaasia nigrescens";570;NA
"2372";"Dehaasia pauciflora";670;NA
"2373";"Delarbrea michieana";634;NA
"2374";"Delonix regia";578,75;NA
"2375";"Dendrobangia boliviana";635,333333333333;NA
"2376";"Dendrocnide excelsa";207;NA
"2377";"Dendrocnide photinophylla";207;NA
"2378";"Dendropanax arboreus";419,833333333333;NA
"2379";"Deplanchea bancana";430;NA
"2380";"Deplanchea tetraphylla";426,777777777778;NA
"2381";"Derris dalbergioides";680;NA
"2382";"Derris hatschbachii";820;NA
"2383";"Derris microphylla";590;NA
"2384";"Derris rariflora";597;NA
"2385";"Derris robusta";730;NA
"2386";"Derris spruceana";670;NA
"2387";"Desbordesia glaucescens";915;"bouamir_p16_50"
"2388";"Desbordesia pierreana";947;NA
"2389";"Desmopsis panamensis";764;NA
"2390";"Detarium senegalense";700;NA
"2391";"Dialium bipindense";959;NA
"2392";"Dialium cochinchinense";940;NA
"2393";"Dialium corbisieri";876;NA
"2394";"Dialium dinklagei";683;NA
"2395";"Dialium englerianum";801;NA
"2396";"Dialium excelsum";824;NA
"2397";"Dialium guianense";896,384615384615;NA
"2398";"Dialium hydnocarpoides";696,666666666667;NA
"2399";"Dialium indet";717,333333333333;NA
"2400";"Dialium indum";820;NA
"2401";"Dialium kingii";680;NA
"2402";"Dialium kunstleri";720;NA
"2403";"Dialium laurinum";800;NA
"2404";"Dialium maingayi";820;NA
"2405";"Dialium modestum";760;NA
"2406";"Dialium pachyphyllum";922,5;"bouamir_p16_85"
"2407";"Dialium patens";970;NA
"2408";"Dialium platysepalum";772,5;NA
"2409";"Dialium procerum";710;NA
"2410";"Dialium wallichii";880;NA
"2411";"Diatenopteryx sorbifolia";744;NA
"2412";"Dichapetalum papuanum";761;NA
"2413";"Dichrostachys cinerea";990;NA
"2414";"Diclinanona calycina";470;NA
"2415";"Dicorynia guianensis";591,2;NA
"2416";"Dicranolepis usambarica";600;NA
"2417";"Dicymbe altsonii";758;NA
"2418";"Dicymbe corymbosa";758;NA
"2419";"Didelotia africana";661,5;NA
"2420";"Didelotia brevipaniculata";553;NA
"2421";"Didelotia idae";551;NA
"2422";"Didelotia indet";586;NA
"2423";"Didelotia letouzeyi";515,5;NA
"2424";"Didymopanax macrocarpum";575;NA
"2425";"Didymosalpinx norae";715;NA
"2426";"Dillenia alata";550,5;NA
"2427";"Dillenia aurea";625,666666666667;NA
"2428";"Dillenia borneensis";610;NA
"2429";"Dillenia celebica";630;NA
"2430";"Dillenia excelsa";680;NA
"2431";"Dillenia eximia";680;NA
"2432";"Dillenia grandifolia";650;NA
"2433";"Dillenia indica";700;NA
"2434";"Dillenia luzoniensis";685;NA
"2435";"Dillenia megalantha";739;NA
"2436";"Dillenia oblonga";480;NA
"2437";"Dillenia obovata";630;NA
"2438";"Dillenia ochreata";640;NA
"2439";"Dillenia ovalifolia";680;NA
"2440";"Dillenia papuana";550,5;NA
"2441";"Dillenia parviflora";560;NA
"2442";"Dillenia pentagyna";595,333333333333;NA
"2443";"Dillenia philippinensis";626,5;NA
"2444";"Dillenia pulchella";690;NA
"2445";"Dillenia pulcherrima";537;NA
"2446";"Dillenia reticulata";610;NA
"2447";"Dillenia serrata";510;NA
"2448";"Dillenia suffruticosa";450;NA
"2449";"Dillenia sumatrana";680;NA
"2450";"Dilobeia indet";883;NA
"2451";"Dilobeia thouarsii";843,6;NA
"2452";"Dimocarpus longan";700;NA
"2453";"Dimorphandra conjugata";727,5;NA
"2454";"Dimorphandra davisii";861;NA
"2455";"Dimorphandra macrostachya";695;NA
"2456";"Dimorphandra mora";990;NA
"2457";"Dimorphandra parviflora";1000;NA
"2458";"Dimorphandra polyandra";656;NA
"2459";"Dimorphandra pullei";580;NA
"2460";"Dimorphocalyx malayanus";820;NA
"2461";"Dinizia excelsa";905,4;NA
"2462";"Diogoa zenkeri";695,5;NA
"2463";"Diospyros abyssinica";600;NA
"2464";"Diospyros andamanica";600;NA
"2465";"Diospyros areolata";720;NA
"2466";"Diospyros argentea";690;NA
"2467";"Diospyros aurea";380;NA
"2468";"Diospyros australis";633;NA
"2469";"Diospyros baloen-ldjoek";730;NA
"2470";"Diospyros bantamensis";760;NA
"2471";"Diospyros beccarii";620;NA
"2472";"Diospyros bejaudii";796;NA
"2473";"Diospyros blancoi";880;NA
"2474";"Diospyros borneensis";550;NA
"2475";"Diospyros brachiata";540;NA
"2476";"Diospyros brasiliensis";680;NA
"2477";"Diospyros burmanica";1095;NA
"2478";"Diospyros buxifolia";775;NA
"2479";"Diospyros campanulata";630;NA
"2480";"Diospyros capreifolia";730;NA
"2481";"Diospyros carbonaria";730;NA
"2482";"Diospyros cauliflora";540;NA
"2483";"Diospyros cayennensis";460;NA
"2484";"Diospyros celebica";880;NA
"2485";"Diospyros clavigera";770;NA
"2486";"Diospyros confertiflora";660;NA
"2487";"Diospyros cordifolia";730;NA
"2488";"Diospyros crassiflora";858,2;NA
"2489";"Diospyros curranii";660;NA
"2490";"Diospyros curraniopsis";630;NA
"2491";"Diospyros dajakensis";680;NA
"2492";"Diospyros decipiens";650;NA
"2493";"Diospyros dendo";905;NA
"2494";"Diospyros densa";710;NA
"2495";"Diospyros dichroa";530;NA
"2496";"Diospyros diepenhorstii";570;NA
"2497";"Diospyros digyna";790;NA
"2498";"Diospyros discocalyx";530;NA
"2499";"Diospyros durionoides";750;NA
"2500";"Diospyros ebenum";740;NA
"2501";"Diospyros ehretioides";606;NA
"2502";"Diospyros ellipticifolia";760;NA
"2503";"Diospyros elmeri";770;NA
"2504";"Diospyros eriantha";702,6;NA
"2505";"Diospyros evena";580;NA
"2506";"Diospyros ferrea";940;NA
"2507";"Diospyros ferruginescens";620;NA
"2508";"Diospyros forbesii";740;NA
"2509";"Diospyros foxworthyi";540;NA
"2510";"Diospyros glaucophylla";620;NA
"2511";"Diospyros guianensis";730;NA
"2512";"Diospyros hallierii";590;NA
"2513";"Diospyros hasseltii";553;NA
"2514";"Diospyros helferi";720;NA
"2515";"Diospyros hemicycloides";1012;NA
"2516";"Diospyros hermaphroditica";595;NA
"2517";"Diospyros hispida";620;NA
"2518";"Diospyros inclusa";696;NA
"2519";"Diospyros inconstans";830;NA
"2520";"Diospyros indet";772,8;NA
"2521";"Diospyros kaki";630,333333333333;NA
"2522";"Diospyros kamerunensis";825,25;NA
"2523";"Diospyros kirkii";633;NA
"2524";"Diospyros koeboeensis";640;NA
